gid,건물1,건물2,건물3,도서관,민원행정기관,변압기,전기안전관리자,전기차,교통량,경제인구,주차면수,총점,Rank
다사87ba66aa,0.065789474,0,0,0,0,0,0,0,0,0.002051984,0,0.135682915,2663
다사73bb65aa,0.184210526,0,0,0,0,0,0,0,0,0,0,0.368421053,1782
다사73aa55ab,0.355263158,0.428571429,0,0.218181818,0,0.020325203,0,0.038461538,0.199927121,0.020861833,0,2.753248608,158
다사69ab63bb,0.105263158,0,0,0.072727273,0,0.012195122,0,0,0.161312044,0.008207934,0,0.634488666,1240
다사69aa64aa,0.157894737,0,0,0,0,0.008130081,0,0,0,0,0,0.323919555,1918
다사84aa52ba,0.013157895,0,0,0.2,0,0.008130081,0,0,0.002640407,0.005813953,0,0.251354591,2166
다사71ba64bb,0.065789474,0,0,0.254545455,0,0.004065041,0,0,8.27E-06,0.004787962,0,0.399781909,1697
다사76bb50bb,0,0,0,0.072727273,0,0.004065041,0,0,0,0.009233926,0,0.095260166,2893
다사69bb60ab,0.328947368,0,0,0.072727273,0,0.004065041,0.033333333,0,0.000718953,0.00376197,0,0.843648895,970
다사73aa70aa,0.065789474,0.142857143,0,0.345454545,0.333333333,0.008130081,0.066666667,0.038461538,0.135708082,0.223666211,0,2.242739998,257
다사75ab57aa,0.118421053,0,0,0.145454545,0,0.012195122,0,0,0.000907632,0.010259918,0,0.416826873,1658
다사83aa61aa,0.184210526,0,1,0.127272727,0,0.020325203,0.033333333,0,0.006497622,0.10875513,0,1.846524487,391
다사77ab63bb,0.013157895,0,0,0,0,0,0.033333333,0,0,0,0,0.126315789,2736
다사68aa64ab,0,0,0,0,0,0,0,0,0,0,0,0,3568
다사71ab56bb,0,0,0,0,0,0,0,0,0,0,0,0,3568
다사82ba55ab,0.026315789,0,0,0,0,0.016260163,0,0,0,0.00376197,0,0.076415681,3001
다사73ba56aa,0.026315789,0,0,0.036363636,0,0.004065041,0.033333333,0,0,0.002393981,0,0.197848218,2355
다사66aa63ba,0.013157895,0,0,0.109090909,0,0.004065041,0.066666667,0,0.002517675,0,0,0.344507089,1848
다사71aa67ab,0.197368421,0,0,0,0,0.008130081,0.033333333,0,0,0.002735978,0,0.50833888,1452
다사70aa61ab,0.078947368,0,0,0.163636364,0,0,0,0,0.291032209,0.003419973,0,0.910435463,907
다사67ab67bb,0.118421053,0,0,0.218181818,0,0.016260163,0,0,1.94E-05,0.011627907,0,0.494578798,1479
다사65ab62ba,0.026315789,0,0,0,0,0.004065041,0,0,0,0.003419973,0,0.063536565,3079
다사71bb57ba,0.157894737,0,0,0.218181818,0,0.020325203,0,0,0.211910779,0.00752394,0,0.993165933,838
다사69ba61aa,0.144736842,0,0,0.018181818,0,0,0.033333333,0,0,0.003077975,0,0.413811453,1666
다사69ab65ba,0.013157895,0,0,0.090909091,0,0,0,0,2.21E-05,0,0,0.117269144,2774
다사76ba59bb,0,0,0,0.036363636,0,0,0,0,0,0.004787962,0,0.04593956,3203
다사77aa55aa,0.039473684,0,0,0.072727273,0,0.004065041,0,0,0,0,0,0.155739682,2552
다사79ab68bb,0.039473684,0,0,0.072727273,0,0.004065041,0,0,0.00015157,0,0,0.156042822,2550
다사69bb67ba,0.328947368,0,0,0.2,0,0.012195122,0.066666667,0,0.00105965,0.004103967,0,1.080417094,761
다사81aa59bb,0,0,0,0,0,0,0,0,0,0,0,0,3568
다사82ba57bb,0.223684211,0,0,0.090909091,0,0.004065041,0,0,0.000138157,0.002051984,0,0.546722833,1384
다사74bb54bb,0.105263158,0,0,0.327272727,0,0.004065041,0,0,0.442743241,0.002051984,0,1.431454534,552
다사82bb65aa,0.460526316,0,0,0.181818182,0,0.020325203,0.033333333,0,0.000642273,0.094049248,0,1.412579059,564
다사71ab60bb,0.039473684,0,0,0.090909091,0,0.008130081,0,0,0.053821726,0,0,0.285629993,2061
