충전소명,start,end,기간(일수),총이용수,총충전량,일평균충전,일평균이용,구분,수량(급속),수량(완속),lat,lon,gid
사릉역노외주차장,2018-06-07 13:35,2018-07-28 15:48,52,10,89.909999999999997,1.730000000000000,0.190000000000000,주차장,1,1,37.652295000000002,127.176105000000007,다사71ab61ab
삼익 아파트,2017-11-30 14:28,2018-08-29 12:53,272,34,35.460000000000001,0.130000000000000,0.120000000000000,아파트,1,1,37.585771000000001,127.207419999999999,다사74aa54aa
삼익파크힐스,2017-10-18 19:44,2018-08-24 13:32,310,47,59.469999999999999,0.190000000000000,0.150000000000000,아파트,1,2,37.665754000000000,127.306370000000001,다사82bb62bb
신일유토빌 아파트,2017-11-14 22:18,2018-08-27 22:17,286,124,1233.400000000000091,4.310000000000000,0.430000000000000,아파트,1,3,37.648547999999998,127.115719999999996,다사66aa61aa
예당마을 신안인스빌아파트,2018-04-03 14:29,2018-08-28 14:45,148,66,372.560000000000002,2.520000000000000,0.450000000000000,아파트,1,3,37.723199000000001,127.206170000000000,다사74aa69ab
오남신동아아파트,2018-04-25 21:41,2018-08-31 7:20,128,40,343.430000000000007,2.680000000000000,0.310000000000000,아파트,0,1,37.683410000000002,127.208110000000005,다사74ab64bb
와부읍주민자치센터,,,,,,,,공공건물,0,1,37.585351000000003,127.216674999999995,다사74bb54aa
유기농테마파크,2017-12-20 9:50,2018-07-30 19:23,223,76,899.679999999999950,4.030000000000000,0.340000000000000,유원지,1,1,37.594957999999998,127.337642000000002,다사85ba55aa
이마트 도농점,2016-08-01 18:45,2018-06-12 21:24,681,749,8213.110000000000582,12.060000000000000,1.100000000000000,마트,1,0,37.608204499999999,127.157753799999995,다사69bb56ba
이마트 진접점,2018-03-29 21:08,2018-08-31 22:49,156,227,4999.039999999999964,32.049999999999997,1.460000000000000,마트,1,0,37.708828199999999,127.181916400000006,다사71bb67ba
진건금강아파트,2017-09-15 12:05,2018-08-28 11:53,347,43,30.579999999999998,0.090000000000000,0.120000000000000,아파트,1,2,37.658323000000003,127.178309999999996,다사71ba62aa
진건현대아파트,2018-04-03 22:26,2018-08-28 11:28,147,23,91.579999999999998,0.620000000000000,0.160000000000000,아파트,1,1,37.661242000000001,127.176079999999999,다사71ab62ab
진접롯데캐슬 아파트,2017-09-15 9:52,2018-09-01 0:41,351,110,861.610000000000014,2.450000000000000,0.310000000000000,아파트,1,2,37.718485000000001,127.186329999999998,다사72ab68bb
진접센트레빌1단지,2017-09-15 10:57,2018-09-01 7:18,351,475,7931.399999999999636,22.600000000000001,1.350000000000000,아파트,1,4,37.739916000000001,127.198099999999997,다사73ab71aa
진접신창비바패밀리아파트,2018-04-26 18:14,2018-08-31 2:12,127,76,1240.250000000000000,9.770000000000000,0.600000000000000,아파트,1,1,37.745462000000003,127.216830000000002,다사75aa71bb
퇴계원금호어울림,2018-04-19 15:20,2018-08-28 11:06,131,34,42.250000000000000,0.320000000000000,0.260000000000000,아파트,1,3,37.659695999999997,127.143919999999994,다사68ba62ab
평내마을 주공 아파트,2018-01-16 12:15,2018-08-24 9:48,220,18,4.510000000000000,0.020000000000000,0.080000000000000,아파트,1,1,37.640130999999997,127.234030000000004,다사76ba60aa
평내상록데시앙 아파트,2018-01-08 15:31,2018-08-24 10:16,228,62,381.670000000000016,1.670000000000000,0.270000000000000,아파트,1,2,37.646447999999999,127.239390000000000,다사77aa60bb
평내제2공영주차장,2018-03-30 11:01,2018-07-31 19:24,124,207,2284.929999999999836,18.430000000000000,1.670000000000000,주차장,1,1,37.653100000000002,127.244000000000000,다사77ab61ba
평내화성파크힐즈 아파트,2018-01-08 14:41,2018-08-24 9:59,228,23,12.660000000000000,0.060000000000000,0.100000000000000,아파트,1,1,37.642474999999997,127.236509999999996,다사76bb60ab
하나로마트 진접점,2018-03-03 12:20,2018-08-31 23:28,182,303,4813.500000000000000,26.449999999999999,1.660000000000000,마트,2,0,37.709766000000002,127.184880000000007,다사72aa67bb
호평·평내 행정복지센터,2018-01-01 0:00,2018-07-31 23:59,211,273,1882.880000000000109,8.920000000000000,1.290000000000000,공공건물,1,1,37.654121000000004,127.250815000000003,다사78aa61ba
호평6단지 휴먼시아,2018-03-22 21:56,2018-08-27 2:39,158,86,793.759999999999991,5.020000000000000,0.540000000000000,아파트,1,3,37.658901999999998,127.240129999999994,다사77aa62aa
호평동원로얄듀크 아파트,2018-05-11 11:37,2018-08-24 11:15,105,22,9.210000000000001,0.090000000000000,0.210000000000000,아파트,1,1,37.656638000000001,127.249229999999997,다사77bb61bb
홈플러스 진접점,2018-03-04 12:56,2018-08-31 21:06,181,226,3576.440000000000055,19.760000000000002,1.250000000000000,마트,1,0,37.721724999999999,127.188490000000002,다사72ba69aa
화도·수동행정복지센터,2018-01-01 0:00,2018-07-31 23:59,211,152,1757.099999999999909,8.330000000000000,0.720000000000000,공공건물,1,0,37.657851999999998,127.300702999999999,다사82ab62aa
화도읍 공영주차장,2018-07-30 13:49,2018-07-30 19:53,1,3,22.699999999999999,22.699999999999999,3.000000000000000,주차장,1,1,37.650840000000002,127.303870000000003,다사82ba61ab
화도효성해링턴플레이스,2017-10-12 16:39,2018-08-30 2:37,322,452,6491.260000000000218,20.160000000000000,1.400000000000000,아파트,1,1,37.650436999999997,127.337130000000002,다사85ba61aa
힐스테이트황금산,2017-11-30 12:50,2018-09-01 4:57,275,302,5475.590000000000146,19.910000000000000,1.100000000000000,아파트,1,3,37.608221000000000,127.163629999999998,다사70ab56ba
